"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test with steps","This will create new store","SUCCESS","2022-01-10T16:13:09.624Z[Europe/London]","0.0","5.96"
"Stores CRUD test with steps","Verify if the strore was created in application","SUCCESS","2022-01-10T16:13:15.609Z[Europe/London]","0.0","0.76"
"Stores CRUD test with steps","Update store information and verify the updated information","SUCCESS","2022-01-10T16:13:16.371Z[Europe/London]","0.0","0.79"
"Stores CRUD test with steps","Delete store and verify if the product is deleted","SUCCESS","2022-01-10T16:13:17.160Z[Europe/London]","0.0","0.57"
