"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test with steps","This will create new product","SUCCESS","2022-01-10T16:13:09.592Z[Europe/London]","0.0","6.25"
"Products CRUD test with steps","Verify if the product was added to the application","SUCCESS","2022-01-10T16:13:15.940Z[Europe/London]","0.0","1.46"
"Products CRUD test with steps","Update product information and verify the updated information","SUCCESS","2022-01-10T16:13:17.401Z[Europe/London]","0.0","0.53"
"Products CRUD test with steps","Delete product and verify if the product is deleted","SUCCESS","2022-01-10T16:13:17.929Z[Europe/London]","0.0","0.07"
