"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test with steps","This will create new product","SUCCESS","2022-01-09T11:08:08.677Z[Europe/London]","0.0","2.93"
"Products CRUD test with steps","Verify if the product was added to the application","SUCCESS","2022-01-09T11:08:11.620Z[Europe/London]","0.0","0.63"
"Products CRUD test with steps","Update product information and verify the updated information","SUCCESS","2022-01-09T11:08:12.252Z[Europe/London]","0.0","0.19"
"Products CRUD test with steps","Delete product and verify if the product is deleted","SUCCESS","2022-01-09T11:08:12.446Z[Europe/London]","0.0","0.08"
