"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","Verify if the Category was created in application","SUCCESS","2022-01-10T16:13:15.680Z[Europe/London]","0.0","0.67"
"Categories CRUD test with steps","Update Category information and verify the updated information","SUCCESS","2022-01-10T16:13:16.348Z[Europe/London]","0.0","0.75"
"Categories CRUD test with steps","Delete Category and verify if the Category is deleted","SUCCESS","2022-01-10T16:13:17.109Z[Europe/London]","0.0","0.6"
