"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test with steps","This will create new store","SUCCESS","2022-01-10T16:13:09.586Z[Europe/London]","0.0","6.11"
"Services CRUD test with steps","Verify if the services is created","SUCCESS","2022-01-10T16:13:15.723Z[Europe/London]","0.0","0.66"
"Services CRUD test with steps","Update Service information and verify the updated information","SUCCESS","2022-01-10T16:13:16.391Z[Europe/London]","0.0","0.7"
"Services CRUD test with steps","Delete Service and verify if the Service is deleted","SUCCESS","2022-01-10T16:13:17.096Z[Europe/London]","0.0","0.63"
